Employee Name,Employee ID,Currently active,Availability Date,Available Hours,Employee Country,Current Project Name,Manager,Travel Preference,Employee Email ID,Languages,CLAIM Start Date,CLAIM Discontinue Date,Billable,Primary Job Role,Primary Skill Set,Service City,Service State/Province,Staffing Reviewer Notes ID,Manager Notes ID,Hire Date Range,Client Name,Project Manager Name,Project Manager Email ID,Project Manager Serial,Project Manager Country,Skill 2,Experience,Rating,Contact,Designation
Austin Gardner,00224Z744,Y,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Application Developer,Test Automation,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D11357,United States of America,DotNET,1,1,9576152312,Jr.softwareEngineer
George Cunningham,00902L744,N,1/1/2020,40,India,Oracle JDE RICE TAC A4,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Test Specialist,Oracle Database,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D12714,United States of America,DotNET,2,2,9873214562,Jr.softwareEngineer
Michael Martinez,00756U744,N,30-07-2018,40,India,SAP BI TAC A5,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Packaged Application,Custom Development,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628681,India,DotNET,3,3,9653214895,Sr.softwareEngineer
Melody Miller,00689S744,N,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Project Manager,Oracle Database,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D14071,United States of America,DotNET,4,4,9863214567,Sr.softwareEngineer
Anthony Wilson,00677J744,N,1/1/2020,40,India,Oracle JDE RICE TAC A5,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Technical Assistant,Oracle Application,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D15428,United States of America,DotNET,5,5,9654781234,Jr.softwareEngineer
Daniel Wright,00590M744,N,2/1/2020,40,India,SAP BI TAC A6,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Application Developer,SAP.SCM.SD,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628682,India,DotNET,6,1,9576152312,Jr.softwareEngineer
Christina Hernandez,00377C744,N,3/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Test Specialist,SAP.BASIS,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D16785,United States of America,DotNET,1,2,9873214562,Sr.softwareEngineer
Carol Murray,00948B744,N,4/1/2020,40,India,Oracle JDE RICE TAC A6,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Packaged Application,Technincal Requirement,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D18142,United States of America,DotNET,2,3,9653214895,Sr.softwareEngineer
Maureen Reilly,00699A744,Y,5/1/2020,40,India,SAP BI TAC A7,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Project Manager,SAP.FIN.FI,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628683,India,DotNET,3,4,9863214567,Jr.softwareEngineer
Michelle Ramirez,00734W744,N,6/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Technical Assistant,SAP.BOBJ,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D19499,United States of America,DotNET,4,5,9654781234,Jr.softwareEngineer
Marie Chavez,00383V744,Y,31-12-2018,40,India,Oracle JDE RICE TAC A7,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Application Developer,SAP.ABAP,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D20856,United States of America,DataBase,5,1,9576152312,Sr.softwareEngineer
Heather Stephens,00849J744,N,1/1/2020,40,India,SAP BI TAC A8,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Test Specialist,JDE,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628684,India,DataBase,6,2,9873214562,Sr.softwareEngineer
Suzanne Payne,00823I744,N,30-07-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Packaged Application,Java.core,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D22213,United States of America,DataBase,1,3,9653214895,Jr.softwareEngineer
Jessica Bell,00841P744,N,31-12-2018,40,India,Oracle JDE RICE TAC A8,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Project Manager,Custom Application,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D23570,United States of America,DataBase,2,4,9863214567,Jr.softwareEngineer
Emily Clay,00516S744,N,1/1/2020,40,India,SAP BI TAC A9,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Technical Assistant,SAP.ABAP,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628685,India,DataBase,3,5,9654781234,Sr.softwareEngineer
James Macdonald,00167H744,N,2/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Application Developer,COBOL,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D24927,United States of America,DataBase,4,1,9576152312,Sr.softwareEngineer
Brad Peterson,00387K744,N,3/1/2020,40,India,Oracle JDE RICE TAC A9,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Test Specialist,Application Maintenance & Support,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D26284,United States of America,DataBase,5,2,9873214562,Jr.softwareEngineer
Benjamin Klein,00758Y744,Y,4/1/2020,40,India,SAP BI TAC A10,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Packaged Application,Java.Spring & Hibernate,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628686,India,DataBase,6,3,9653214895,Jr.softwareEngineer
Samantha Armstrong,00574T744,Y,5/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Project Manager,c#.NET,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D27641,United States of America,DataBase,1,4,9863214567,Sr.softwareEngineer
Jean Greene,00432Q744,Y,6/1/2020,40,India,Oracle JDE RICE TAC A10,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Technical Assistant,Test Automation,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D28998,United States of America,DataBase,2,5,9654781234,Sr.softwareEngineer
Christopher Baker,00698K744,Y,31-12-2018,40,India,SAP BI TAC A11,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Application Developer,Oracle Database,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628687,India,DataBase,3,1,9576152312,Jr.softwareEngineer
Lori Stevens,00334J744,N,1/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Test Specialist,Custom Development,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D30355,United States of America,DataBase,4,2,9873214562,Jr.softwareEngineer
Ronald Roberts,00397N744,N,30-07-2018,40,India,Oracle JDE RICE TAC A11,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Packaged Application,Oracle Database,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D31712,United States of America,DataBase,5,3,9653214895,Sr.softwareEngineer
Michael Hill,00551B744,N,31-12-2018,40,India,SAP BI TAC A12,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Project Manager,Oracle Application,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628688,India,DataBase,6,4,9863214567,Sr.softwareEngineer
Brandon Thomas,00453Q744,N,1/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Technical Assistant,SAP.SCM.SD,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D33069,United States of America,DataBase,1,5,9654781234,Jr.softwareEngineer
Anthony Armstrong,00851X744,N,2/1/2020,40,India,Oracle JDE RICE TAC A12,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Application Developer,SAP.BASIS,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D34426,United States of America,DataBase,2,1,9576152312,Jr.softwareEngineer
Nathan Roberts,00129I744,N,3/1/2020,40,India,SAP BI TAC A13,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Test Specialist,Technincal Requirement,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628689,India,DataBase,3,2,9873214562,Sr.softwareEngineer
Julie Wang,00790C744,N,4/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Packaged Application,SAP.FIN.FI,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D35783,United States of America,DataScience,4,3,9653214895,Sr.softwareEngineer
Ryan Thomas,00859F744,N,5/1/2020,40,India,Oracle JDE RICE TAC A13,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Project Manager,SAP.BOBJ,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D37140,United States of America,DataScience,5,4,9863214567,Jr.softwareEngineer
Kristine Garcia,00986L744,Y,6/1/2020,40,India,SAP BI TAC A14,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Technical Assistant,SAP.ABAP,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628690,India,DataScience,6,5,9654781234,Jr.softwareEngineer
Robert Burke,00358Q744,N,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Application Developer,JDE,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D38497,United States of America,DataScience,1,1,9576152312,Sr.softwareEngineer
Kimberly Gomez,00985L744,Y,1/1/2020,40,India,Oracle JDE RICE TAC A14,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Test Specialist,Java.core,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D39854,United States of America,DataScience,2,2,9873214562,Sr.softwareEngineer
Russell Miller,00896B744,Y,30-07-2018,40,India,SAP BI TAC A15,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Packaged Application,Custom Application,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628691,India,DataScience,3,3,9653214895,Jr.softwareEngineer
Cynthia Jackson,00942D744,Y,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Project Manager,SAP.ABAP,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D41211,United States of America,DataScience,4,4,9863214567,Jr.softwareEngineer
Ryan Willis,00671B744,Y,1/1/2020,40,India,Oracle JDE RICE TAC A15,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Technical Assistant,COBOL,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D42568,United States of America,DataScience,5,5,9654781234,Sr.softwareEngineer
Jasmine Hart,00341G744,Y,2/1/2020,40,India,SAP BI TAC A16,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Application Developer,Application Maintenance & Support,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628692,India,DataScience,6,1,9576152312,Sr.softwareEngineer
Robert Henderson,00919O744,Y,3/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Test Specialist,Java.Spring & Hibernate,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D43925,United States of America,DataScience,1,2,9873214562,Jr.softwareEngineer
Lisa Russell,00543Q744,Y,4/1/2020,40,India,Oracle JDE RICE TAC A16,"PADHI, NR",No Value Available,lovlee12@in.ibm.com,English; Hindi,30-01-2016,31-12-1999,Y,Packaged Application,c#.NET,GURGAON,UP ,Nihar R Padhi/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D45282,United States of America,DataScience,2,3,9653214895,Jr.softwareEngineer
Nicole Reed,00273A744,Y,5/1/2020,40,India,SAP BI TAC A17,"ARORA, K",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Punjabi,6/6/2015,31-12-1999,Y,Project Manager,Test Automation,BANGALORE,HR ,Kuldeep Arora/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628693,India,DataScience,3,4,9863214567,Sr.softwareEngineer
Erin Dixon,00553A744,N,6/1/2020,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,niti2014@in.ibm.com,English; Hindi; Kannada; Urdu,25-11-2017,31-12-1999,Y,Technical Assistant,Oracle Database,NOIDA,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D46639,United States of America,DataScience,4,5,9654781234,Sr.softwareEngineer
